run,parameter,joint,value,lower,upper,normalized_distance_to_boundary
A,bias,FL-calf,-0.04406416788697243,-0.05000000074505806,0.05000000074505806,0.059358327696348315
A,bias,FR-abad,0.0495011992752552,-0.05000000074505806,0.05000000074505806,0.004988014623701354
A,bias,FR-thigh,0.049019817262887955,-0.05000000074505806,0.05000000074505806,0.00980183467564233
A,bias,FR-calf,0.033568333834409714,-0.05000000074505806,0.05000000074505806,0.16431666665797431
A,bias,RL-abad,-0.04938448593020439,-0.05000000074505806,0.05000000074505806,0.006155148056817829
A,bias,RL-thigh,-0.04998132213950157,-0.05000000074505806,0.05000000074505806,0.0001867860527815513
A,bias,RL-calf,-0.04093899950385094,-0.05000000074505806,0.05000000074505806,0.09061001106187684
A,bias,RR-abad,0.049194883555173874,-0.05000000074505806,0.05000000074505806,0.00805117177887005
A,bias,RR-thigh,-0.04713714122772217,-0.05000000074505806,0.05000000074505806,0.028628594746759613
A,bias,RR-calf,0.04586172476410866,-0.05000000074505806,0.05000000074505806,0.04138275919284285
A,delay,shared,4.661644458770752,0.0,10.0,0.4661644458770752
B,armature,FL-abad,0.007553407456725836,9.999999974752427e-07,1.0,0.007552415009143351
B,armature,FL-thigh,0.0014366956893354654,9.999999974752427e-07,1.0,0.0014356971250351117
B,armature,FL-calf,0.031043604016304016,9.999999974752427e-07,1.0,0.03104263505894152
B,armature,FR-abad,0.008686759509146214,9.999999974752427e-07,1.0,0.00868576819491691
B,armature,FR-thigh,0.003654284169897437,9.999999974752427e-07,1.0,0.0036532878231877756
B,armature,FR-calf,0.030218975618481636,9.999999974752427e-07,1.0,0.03021800583648992
B,armature,RL-abad,0.011449640616774559,9.999999974752427e-07,1.0,0.01144865206542912
B,armature,RL-thigh,0.00580779742449522,9.999999974752427e-07,1.0,0.005806803231300961
B,armature,RL-calf,0.031136855483055115,9.999999974752427e-07,1.0,0.03113588661894418
B,armature,RR-abad,0.013529541902244091,9.999999974752427e-07,1.0,0.013528555430802013
B,armature,RR-thigh,0.004298579879105091,9.999999974752427e-07,1.0,0.004297584176691782
B,armature,RR-calf,0.03185991570353508,9.999999974752427e-07,1.0,0.031858947562485085
B,damping,FL-abad,0.38763031363487244,0.0,5.0,0.07752606272697449
B,damping,FL-thigh,0.4203774034976959,0.0,5.0,0.08407548069953918
B,damping,FL-calf,0.4221147298812866,0.0,5.0,0.08442294597625732
B,damping,FR-abad,0.41454851627349854,0.0,5.0,0.08290970325469971
